"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
151,1921163.729946136470,-15.501027107239,0.000000000000,-68.625717163086,0.000000000000,53.124690055847,0.000000000000
152,1945094.323408126830,-15.501235008240,0.000000000000,-68.696174621582,0.000000000000,53.194939613342,0.000000000000
153,1969323.003543853760,-15.501868247986,0.000000000000,-68.687965393066,0.000000000000,53.186097145081,0.000000000000
154,1993853.483375549320,-15.501691818237,0.000000000000,-68.697158813477,0.000000000000,53.195466995239,0.000000000000
155,2018689.522275924680,-15.500905036926,0.000000000000,-68.651893615723,0.000000000000,53.150988578796,0.000000000000
156,2043834.926351547240,-15.500727653503,0.000000000000,-68.505981445313,0.000000000000,53.005253791809,0.000000000000
157,2069293.549146652220,-15.502599716187,0.000000000000,-68.597938537598,0.000000000000,53.095338821411,0.000000000000
158,2095069.292205810550,-15.501582145691,0.000000000000,-68.732322692871,0.000000000000,53.230740547180,0.000000000000
159,2121166.105678558350,-15.502969741821,0.000000000000,-68.637229919434,0.000000000000,53.134260177612,0.000000000000
160,2147587.988872528080,-15.502706527710,0.000000000000,-68.625823974609,0.000000000000,53.123117446899,0.000000000000
161,2174338.991031646730,-15.502185821533,0.000000000000,-68.705963134766,0.000000000000,53.203777313232,0.000000000000
162,2201423.211719512940,-15.503703117371,0.000000000000,-68.696525573730,0.000000000000,53.192822456360,0.000000000000
163,2228844.801612854000,-15.503941535950,0.000000000000,-68.574813842773,0.000000000000,53.070872306824,0.000000000000
164,2256607.963077545170,-15.503848075867,0.000000000000,-68.691932678223,0.000000000000,53.188084602356,0.000000000000
165,2284716.950801849370,-15.503799438477,0.000000000000,-68.627365112305,0.000000000000,53.123565673828,0.000000000000
166,2313176.072566986080,-15.502853393555,0.000000000000,-68.673942565918,0.000000000000,53.171089172363,0.000000000000
167,2341989.689720153810,-15.504302978516,0.000000000000,-68.682838439941,0.000000000000,53.178535461426,0.000000000000
168,2371162.217956542970,-15.503901481628,0.000000000000,-68.666458129883,0.000000000000,53.162556648254,0.000000000000
169,2400698.127979278560,-15.504114151001,0.000000000000,-68.733741760254,0.000000000000,53.229627609253,0.000000000000
170,2430601.946186065670,-15.504066467285,0.000000000000,-68.675933837891,0.000000000000,53.171867370605,0.000000000000
171,2460878.255310058590,-15.504342079163,0.000000000000,-68.795730590820,0.000000000000,53.291388511658,0.000000000000
172,2491531.695289611820,-15.506741523743,0.000000000000,-68.719398498535,0.000000000000,53.212656974792,0.000000000000
173,2522566.963741302490,-15.506114959717,0.000000000000,-68.706085205078,0.000000000000,53.199970245361,0.000000000000
174,2553988.816837310790,-15.504546165466,0.000000000000,-68.626113891602,0.000000000000,53.121567726135,0.000000000000
175,2585802.069984436040,-15.506301879883,0.000000000000,-68.628013610840,0.000000000000,53.121711730957,0.000000000000
176,2618011.598587036130,-15.504794120789,0.000000000000,-68.591949462891,0.000000000000,53.087155342102,0.000000000000
177,2650622.338726043700,-15.505887985229,0.000000000000,-68.630760192871,0.000000000000,53.124872207642,0.000000000000
178,2683639.288101196290,-15.506212234497,0.000000000000,-68.729629516602,0.000000000000,53.223417282104,0.000000000000
179,2717067.506530761720,-15.505472183228,0.000000000000,-68.590217590332,0.000000000000,53.084745407104,0.000000000000
180,2750912.116905212400,-15.506676673889,0.000000000000,-68.689506530762,0.000000000000,53.182829856873,0.000000000000
181,2785178.305931091310,-15.507547378540,0.000000000000,-68.854988098145,0.000000000000,53.347440719604,0.000000000000
182,2819871.324871063230,-15.506843566895,0.000000000000,-68.605804443359,0.000000000000,53.098960876465,0.000000000000
183,2854996.490539550780,-15.506198883057,0.000000000000,-68.599365234375,0.000000000000,53.093166351318,0.000000000000
184,2890559.185840606690,-15.507894515991,0.000000000000,-68.594337463379,0.000000000000,53.086442947388,0.000000000000
185,2926564.860774993900,-15.507757186890,0.000000000000,-68.728187561035,0.000000000000,53.220430374146,0.000000000000
186,2963019.033229827880,-15.506855964661,0.000000000000,-68.631767272949,0.000000000000,53.124911308289,0.000000000000
187,2999927.289825439450,-15.507252693176,0.000000000000,-68.670524597168,0.000000000000,53.163271903992,0.000000000000
188,3037295.286716461180,-15.509537696838,0.000000000000,-68.468765258789,0.000000000000,52.959227561951,0.000000000000
189,3075128.750675201420,-15.508406639099,0.000000000000,-68.690620422363,0.000000000000,53.182213783264,0.000000000000
190,3113433.479640960690,-15.508266448975,0.000000000000,-68.608985900879,0.000000000000,53.100719451904,0.000000000000
191,3152215.343837738040,-15.508269309998,0.000000000000,-68.702339172363,0.000000000000,53.194069862366,0.000000000000
192,3191480.286602020260,-15.509239196777,0.000000000000,-68.695907592773,0.000000000000,53.186668395996,0.000000000000
193,3231234.325256347660,-15.509138107300,0.000000000000,-68.510734558105,0.000000000000,53.001596450806,0.000000000000
